station_id,station_name,latitude,longitude,zone,lines,mode,mnlc,masc,station,coverage,source,entries_monday,entries_midweek,entries_friday,entries_saturday,entries_sunday,exits_monday,exits_midweek,exits_friday,exits_saturday,exits_sunday,weekly_total,twelve_week_total,annualised_total
940GZZLUBLM,Balham,51.443288,-0.152997,3,Northern,LU,512,BALu,Balham LU,Station entry/exit,Gateline,14062,16938,16374,15977,9477,14040,16854,15633,15309,9524,211773,2421874,9828394
940GZZLUBNK,Bank,51.51225,-0.087792,1,Central|Northern|Waterloo & City,LU,513,BNKu,Bank and Monument,Station entry/exit,Gateline,58761,79701,52366,27620,18080,60145,81267,54557,29072,18054,801559,9166763,37200346
940GZZLUBBN,Barbican,51.520275,-0.097993,1,Circle|Hammersmith & City|Metropolitan,LU,501,BARu,Barbican,Station entry/exit,Gateline,8391,10100,7908,4566,3558,8727,10611,8123,4724,3603,111733,1277793,5185508
940GZZLUBKG,Barking,51.539321,0.081053,4,District|Hammersmith & City,LU,514,BKGu,Barking,Station entry/exit,Gateline,24831,26140,25508,20113,14261,24873,26327,25471,19439,14263,326159,3730011,15137045
940GZZLUBKE,Barkingside,51.585689,0.088585,4,Central,LU,515,BDEu,Barkingside,Station entry/exit,Gateline,1908,2130,1914,1330,925,1947,2168,1932,1343,953,25146,287577,1167037
940GZZLUBSC,Barons Court,51.490311,-0.213427,2,District|Piccadilly,LU,516,BCTu,Barons Court,Station entry/exit,Gateline,8287,10030,8812,6366,4332,8274,9161,8707,6131,4444,112926,1291442,5240900
940GZZBPSUST,Battersea Power Station,51.479932,-0.142142,1,Northern,LU,832,BPSu,Battersea Power Station,Station entry/exit,Gateline,10265,13973,12517,19599,9656,9912,12800,11775,17766,9186,180992,2069854,8399835
940GZZLUBWT,Bayswater,51.512284,-0.187938,1,Circle|District,LU,517,BAYu,Bayswater,Station entry/exit,Gateline,5338,5898,6315,6523,5129,5028,5475,5863,5992,4230,78538,898171,3644937
940GZZLUBEC,Becontree,51.540331,0.127016,5,District,LU,518,BECu,Becontree,Station entry/exit,Gateline,4844,5331,5046,3495,2341,4917,5163,4742,3300,2304,62473,714448,2899358
940GZZLUBZP,Belsize Park,51.550529,-0.164783,2,Northern,LU,519,BPKu,Belsize Park,Station entry/exit,Gateline,7823,9021,8262,6473,4846,7869,8871,8135,6239,4909,108230,1237732,5022937
940GZZLUBMY,Bermondsey,51.49775,-0.063993,2,Jubilee,LU,787,BERu,Bermondsey,Station entry/exit,Gateline,10008,11478,11595,11069,7171,9752,11141,11224,10837,7050,146564,1676135,6802053
940GZZLUBLG,Bethnal Green,51.527222,-0.055506,2,Central,LU,520,BNGu,Bethnal Green LU,Station entry/exit,Gateline,14369,17155,17340,17156,12147,13540,16240,16583,16574,11373,219270,2507607,10176312
940GZZLUBKF,Blackfriars,51.511581,-0.103659,1,Circle|District,LU,521,BLFu,Blackfriars LU,Station entry/exit,Gateline,15884,19764,14449,12171,8610,15161,18997,13821,10977,7065,214419,2452137,9951205
940GZZLUBLR,Blackhorse Road,51.586919,-0.04115,3,Victoria,LU,522,BHRu,Blackhorse Road,Station entry/exit,Gateline,13856,15992,15397,13222,9116,13234,14975,14279,12480,8911,193394,2211686,8975412
940GZZLUBND,Bond Street,51.514304,-0.149723,1,Central|Jubilee,LU,524,BDSu,Bond Street,Station entry/exit,Gateline,54309,64747,57923,55393,35619,55596,66105,60746,57581,36668,806390,9222012,37424555
940GZZLUBOR,Borough,51.501199,-0.09337,1,Northern,LU,525,BORu,Borough,Station entry/exit,Gateline,5700,7150,6496,5755,3485,5747,7557,6613,5928,3804,87650,1002377,4067823
940GZZLUBOS,Boston Manor,51.495635,-0.324939,4,Piccadilly,LU,526,BOSu,Boston Manor,Station entry/exit,Gateline,2306,2486,2447,1761,1243,2403,2661,2367,1694,1276,30938,353817,1435853
940GZZLUBDS,Bounds Green,51.607034,-0.124235,3+4,Piccadilly,LU,527,BGRu,Bounds Green,Station entry/exit,Gateline,6626,7473,7449,6185,4212,6416,7184,6992,5874,4208,91932,1051349,4266560
940GZZLUBWR,Bow Road,51.52694,-0.025128,2,District|Hammersmith & City,LU,528,BWRu,Bow Road,Station entry/exit,Gateline,6444,7144,7139,6115,4482,6269,6818,6627,5849,4776,89585,1024506,4157626
940GZZLUBTX,Brent Cross,51.57665,-0.213622,3,Northern,LU,529,BTXu,Brent Cross,Station entry/exit,Gateline,3066,3389,2964,2372,1782,2996,3275,2913,2270,1735,40091,458484,1860607
