DATE_NAME,GEOGRAPHY_NAME,GEOGRAPHY_CODE,AGE_NAME,OBS_VALUE
2024,Ealing,E09000009,Aged 30 - 34 years,31662
2024,Ealing,E09000009,Aged 35 - 39 years,29782
2024,Ealing,E09000009,Aged 40 - 44 years,29345
2024,Ealing,E09000009,Aged 45 - 49 years,26920
2024,Ealing,E09000009,Aged 50 - 54 years,24637
2024,Ealing,E09000009,Aged 55 - 59 years,22893
2024,Ealing,E09000009,Aged 60 - 64 years,19146
2024,Ealing,E09000009,Aged 65 - 69 years,15246
2024,Ealing,E09000009,Aged 70 - 74 years,11726
2024,Ealing,E09000009,Aged 75 - 79 years,9417
2024,Ealing,E09000009,Aged 80 - 84 years,6165
2024,Ealing,E09000009,Aged 85 and over,6091
2024,Enfield,E09000010,Aged under 1 year,3734
2024,Enfield,E09000010,Aged 1 - 4 years,16399
2024,Enfield,E09000010,Aged 5 - 9 years,22071
2024,Enfield,E09000010,Aged 10 - 14 years,23284
2024,Enfield,E09000010,Aged 15 - 19 years,23117
2024,Enfield,E09000010,Aged 20 - 24 years,18707
2024,Enfield,E09000010,Aged 25 - 29 years,21739
2024,Enfield,E09000010,Aged 30 - 34 years,20603
2024,Enfield,E09000010,Aged 35 - 39 years,22680
2024,Enfield,E09000010,Aged 40 - 44 years,23345
2024,Enfield,E09000010,Aged 45 - 49 years,22270
2024,Enfield,E09000010,Aged 50 - 54 years,22038
2024,Enfield,E09000010,Aged 55 - 59 years,20975
2024,Enfield,E09000010,Aged 60 - 64 years,18435
2024,Enfield,E09000010,Aged 65 - 69 years,14112
2024,Enfield,E09000010,Aged 70 - 74 years,10964
2024,Enfield,E09000010,Aged 75 - 79 years,9377
2024,Enfield,E09000010,Aged 80 - 84 years,6459
2024,Enfield,E09000010,Aged 85 and over,7125
2024,Greenwich,E09000011,Aged under 1 year,3517
2024,Greenwich,E09000011,Aged 1 - 4 years,14942
2024,Greenwich,E09000011,Aged 5 - 9 years,18008
2024,Greenwich,E09000011,Aged 10 - 14 years,17990
2024,Greenwich,E09000011,Aged 15 - 19 years,17622
2024,Greenwich,E09000011,Aged 20 - 24 years,19567
2024,Greenwich,E09000011,Aged 25 - 29 years,26821
2024,Greenwich,E09000011,Aged 30 - 34 years,28853
2024,Greenwich,E09000011,Aged 35 - 39 years,26713
2024,Greenwich,E09000011,Aged 40 - 44 years,23954
2024,Greenwich,E09000011,Aged 45 - 49 years,20164
2024,Greenwich,E09000011,Aged 50 - 54 years,18113
2024,Greenwich,E09000011,Aged 55 - 59 years,16907
2024,Greenwich,E09000011,Aged 60 - 64 years,14123
2024,Greenwich,E09000011,Aged 65 - 69 years,10311
2024,Greenwich,E09000011,Aged 70 - 74 years,7682
2024,Greenwich,E09000011,Aged 75 - 79 years,6490
2024,Greenwich,E09000011,Aged 80 - 84 years,4073
2024,Greenwich,E09000011,Aged 85 and over,3678
2024,Hackney,E09000012,Aged under 1 year,3519
2024,Hackney,E09000012,Aged 1 - 4 years,12784
2024,Hackney,E09000012,Aged 5 - 9 years,14327
2024,Hackney,E09000012,Aged 10 - 14 years,14511
2024,Hackney,E09000012,Aged 15 - 19 years,15045
2024,Hackney,E09000012,Aged 20 - 24 years,19789
2024,Hackney,E09000012,Aged 25 - 29 years,35276
2024,Hackney,E09000012,Aged 30 - 34 years,33195
2024,Hackney,E09000012,Aged 35 - 39 years,23153
2024,Hackney,E09000012,Aged 40 - 44 years,18075
2024,Hackney,E09000012,Aged 45 - 49 years,15400
2024,Hackney,E09000012,Aged 50 - 54 years,14011
2024,Hackney,E09000012,Aged 55 - 59 years,13699
2024,Hackney,E09000012,Aged 60 - 64 years,11374
2024,Hackney,E09000012,Aged 65 - 69 years,8320
2024,Hackney,E09000012,Aged 70 - 74 years,5547
2024,Hackney,E09000012,Aged 75 - 79 years,4073
2024,Hackney,E09000012,Aged 80 - 84 years,2453
2024,Hackney,E09000012,Aged 85 and over,2207
2024,Hammersmith and Fulham,E09000013,Aged under 1 year,2039
2024,Hammersmith and Fulham,E09000013,Aged 1 - 4 years,7374
2024,Hammersmith and Fulham,E09000013,Aged 5 - 9 years,8580
2024,Hammersmith and Fulham,E09000013,Aged 10 - 14 years,8748
2024,Hammersmith and Fulham,E09000013,Aged 15 - 19 years,8661
2024,Hammersmith and Fulham,E09000013,Aged 20 - 24 years,18216
2024,Hammersmith and Fulham,E09000013,Aged 25 - 29 years,25663
2024,Hammersmith and Fulham,E09000013,Aged 30 - 34 years,19065
2024,Hammersmith and Fulham,E09000013,Aged 35 - 39 years,14814
2024,Hammersmith and Fulham,E09000013,Aged 40 - 44 years,11938
2024,Hammersmith and Fulham,E09000013,Aged 45 - 49 years,11475
2024,Hammersmith and Fulham,E09000013,Aged 50 - 54 years,11717
2024,Hammersmith and Fulham,E09000013,Aged 55 - 59 years,11108
2024,Hammersmith and Fulham,E09000013,Aged 60 - 64 years,8790
2024,Hammersmith and Fulham,E09000013,Aged 65 - 69 years,6293
2024,Hammersmith and Fulham,E09000013,Aged 70 - 74 years,5028
