mode,mnlc,masc,station,coverage,source,entries_monday,entries_midweek,entries_friday,entries_saturday,entries_sunday,exits_monday,exits_midweek,exits_friday,exits_saturday,exits_sunday,weekly_total,twelve_week_total,annualised_total
LU,577,FARu,Farringdon,Station entry/exit,Gateline,65397,84203,62876,35288,23739,63536,80892,60968,34078,22235,863400,9873986,40070382
LU,578,FYCu,Finchley Central,Station entry/exit,Gateline,9795,11621,10398,7709,4723,9597,11151,10057,6928,7335,134860,1542284,6258859
LU,579,FRDu,Finchley Road,Station entry/exit,Gateline,11326,12418,12354,9410,7196,11076,11951,11652,8819,6860,151800,1736008,7045026
LU,580,FPKu,Finsbury Park,Station entry/exit,Gateline,28655,33928,33814,32968,24806,28334,33547,33019,32506,24753,441280,5046548,20479785
LU,581,FBYu,Fulham Broadway,Station entry/exit,Gateline,10439,12165,11726,9502,6348,10557,12056,11062,8818,5904,147019,1681334,6823150
LU,582,GHLu,Gants Hill,Station entry/exit,Gateline,8013,8768,8132,5895,4388,7593,8326,7773,5682,4245,103003,1177960,4780369
LU,583,GRDu,Gloucester Road,Station entry/exit,Gateline,18015,19562,20131,15774,12187,17109,19050,19344,14987,11251,244635,2797689,11353518
LU,584,GGRu,Golders Green,Station entry/exit,Gateline,9528,10353,10117,7681,6450,9585,10386,10118,7628,6622,129944,1486057,6030683
LU,585,GHRu,Goldhawk Road,Station entry/exit,Gateline,2712,3151,3135,2770,1690,2680,3097,2896,2497,1763,38886,444701,1804676
LU,586,GSTu,Goodge Street,Station entry/exit,Gateline,8240,9484,7781,5251,2954,8646,10369,8814,5825,3114,110183,1260067,5113576
LU,587,GRHu,Grange Hill,Station entry/exit,Gateline,725,815,702,434,266,662,721,577,343,241,8560,97896,397280
LU,588,GPSu,Great Portland Street,Station entry/exit,Gateline,8787,10667,8174,4873,3473,8863,10805,8323,5030,3275,115214,1317603,5347065
LU,590,GPKu,Green Park,Station entry/exit,Gateline,38040,46982,42165,37511,25109,42144,53512,49212,44776,28206,608649,6960614,28247401
LU,589,GFDu,Greenford,Station entry/exit,Gateline,5308,5771,5366,4411,2794,5452,5842,5394,4067,2813,70443,805593,3269238
LU,591,GUNu,Gunnersbury,Station entry/exit,Gateline,6558,7931,6200,4626,2849,6405,7785,5886,4792,2710,87174,996942,4045767
LU,592,HAIu,Hainault,Station entry/exit,Gateline,4911,5299,5020,3431,2226,4662,5085,4800,3192,2255,61647,705001,2861021
LU,593,HMDu,Hammersmith (DIS),Station entry/exit,Gateline,32977,35262,32909,28909,18685,32788,35208,32469,28768,18290,437205,4999946,20290665
LU,773,HMSu,Hammersmith (H&C),Station entry/exit,Gateline,13669,15654,14224,12746,7960,13327,15093,13535,12326,7600,187628,2145740,8707793
LU,594,HMPu,Hampstead,Station entry/exit,Gateline,5230,5963,6026,5549,4794,5949,6693,6825,5994,5472,83807,958430,3889479
LU,595,HLNu,Hanger Lane,Station entry/exit,Gateline,4015,4667,4258,3466,2435,3822,4424,4097,3169,2352,54887,627702,2547324
LU,596,HARu,Harlesden,Station entry/exit,Gateline,4122,4538,4497,2787,1742,4070,4447,4446,2702,1822,53142,607740,2466317
LU,597,HAWu,Harrow & Wealdstone,Station entry/exit,Gateline,5982,6565,6255,4541,2952,5674,6179,5746,4050,2847,76278,872325,3540050
LU,598,HOHu,Harrow-on-the-Hill,Station entry/exit,Gateline,13126,14096,13883,11129,7956,13750,15086,14654,11447,8267,181760,2078633,8435460
LU,779,HTXu,Hatton Cross,Station entry/exit,Gateline,4406,4657,4684,4051,3374,4522,4692,4640,4076,3660,61460,702867,2852360
LU,781,HRFu,Heathrow Terminal 4 LU,Station entry/exit,Gateline,2192,2172,2638,2191,2682,2221,1982,2259,2193,2465,31303,357989,1452783
LU,783,HRVu,Heathrow Terminal 5 LU,Station entry/exit,Gateline,6250,5810,6778,5435,6376,4918,4628,5219,4474,5528,76292,872493,3540730
LU,780,HRCu,Heathrow Terminals 123 LU,Station entry/exit,Gateline,9404,8870,10013,8727,9249,8505,6668,7626,7232,8303,115674,1322873,5368454
LU,601,HNDu,Hendon Central,Station entry/exit,Gateline,8982,9535,8934,6350,4832,8561,8933,8351,5724,4479,111612,1276414,5179915
LU,602,HBTu,High Barnet,Station entry/exit,Gateline,5260,5948,5788,4037,2798,5084,5768,5574,3741,2806,70238,803254,3259745
LU,605,HSTu,High Street Kensington,Station entry/exit,Gateline,13859,16086,16032,14501,10397,13515,15806,15453,13796,9596,202824,2319529,9413060
LU,603,HBYu,Highbury & Islington,Station entry/exit,Gateline,19669,22947,23854,21943,14046,21226,24118,24739,23136,14927,304734,3484991,14142708
LU,604,HIGu,Highgate,Station entry/exit,Gateline,6363,7665,7296,6388,4135,6509,7798,7221,6317,4364,94980,1086212,4408040
LU,606,HDNu,Hillingdon,Station entry/exit,Gateline,2275,2511,2397,1831,1346,2010,2333,2183,1676,1349,29600,338509,1373730
LU,607,HOLu,Holborn,Station entry/exit,Gateline,29787,36748,31465,24135,14340,31880,39599,34284,26207,14994,436134,4987702,20240977
LU,608,HPKu,Holland Park,Station entry/exit,Gateline,4048,4667,4472,3256,2282,4148,4762,4489,3250,2311,56544,646647,2624208
