station_id,station_name,latitude,longitude,zone,lines
940GZZLUSEA,South Ealing,51.501003,-0.307424,3,Piccadilly
940GZZLUSHH,South Harrow,51.564888,-0.352492,5,Piccadilly
940GZZLUSKS,South Kensington,51.494094,-0.174138,1,Circle|District|Piccadilly
940GZZLUSKT,South Kenton,51.570232,-0.308433,4,Bakerloo
940GZZLUSRP,South Ruislip,51.556853,-0.398915,5,Central
940GZZLUSWN,South Wimbledon,51.415309,-0.192005,3+4,Northern
940GZZLUSWF,South Woodford,51.591907,0.027338,4,Central
940GZZLUSFS,Southfields,51.445073,-0.206602,3,District
940GZZLUSGT,Southgate,51.632315,-0.127816,4,Piccadilly
940GZZLUSWK,Southwark,51.50427,-0.105331,1,Jubilee
940GZZLUSJP,St. James's Park,51.499544,-0.133608,1,Circle|District
940GZZLUSJW,St. John's Wood,51.534521,-0.173948,2,Jubilee
940GZZLUSPU,St. Paul's,51.514936,-0.097567,1,Central
940GZZLUSFB,Stamford Brook,51.494917,-0.245704,2,District
940GZZLUSTM,Stanmore,51.619839,-0.303266,5,Jubilee
940GZZLUSGN,Stepney Green,51.521858,-0.046596,2,District|Hammersmith & City
940GZZLUSKW,Stockwell,51.472184,-0.122644,2,Northern|Victoria
940GZZLUSGP,Stonebridge Park,51.543959,-0.275892,3,Bakerloo
940GZZLUSTD,Stratford,51.541806,-0.003458,2/3,Central|Jubilee
940GZZLUSUH,Sudbury Hill,51.556946,-0.336435,4,Piccadilly
940GZZLUSUT,Sudbury Town,51.550815,-0.315745,4,Piccadilly
940GZZLUSWC,Swiss Cottage,51.543681,-0.174894,2,Jubilee
940GZZLUTMP,Temple,51.511006,-0.11426,1,Circle|District
940GZZLUTHB,Theydon Bois,51.671759,0.103085,6,Central
940GZZLUTBC,Tooting Bec,51.435678,-0.159736,3,Northern
940GZZLUTBY,Tooting Broadway,51.42763,-0.168374,3,Northern
940GZZLUTCR,Tottenham Court Road,51.516426,-0.13041,1,Central|Northern
940GZZLUTMH,Tottenham Hale,51.588108,-0.060241,3,Victoria
940GZZLUTAW,Totteridge & Whetstone,51.630597,-0.17921,4,Northern
940GZZLUTWH,Tower Hill,51.509971,-0.076546,1,Circle|District
940GZZLUTFP,Tufnell Park,51.556822,-0.138433,2,Northern
940GZZLUTNG,Turnham Green,51.495148,-0.254555,2+3,District|Piccadilly
940GZZLUTPN,Turnpike Lane,51.590272,-0.102953,3,Piccadilly
940GZZLUUPM,Upminster,51.559063,0.250882,6,District
940GZZLUUPB,Upminster Bridge,51.55856,0.235809,6,District
940GZZLUUPY,Upney,51.538372,0.10153,4,District
940GZZLUUPK,Upton Park,51.53534,0.035263,3,District|Hammersmith & City
940GZZLUUXB,Uxbridge,51.546565,-0.477949,6,Metropolitan|Piccadilly
940GZZLUVXL,Vauxhall,51.485743,-0.124204,1+2,Victoria
940GZZLUVIC,Victoria,51.496359,-0.143102,1,Circle|District|Victoria
940GZZLUWWL,Walthamstow Central,51.582965,-0.019885,3,Victoria
940GZZLUWSD,Wanstead,51.575501,0.028527,4,Central
940GZZLUWRR,Warren Street,51.524951,-0.138321,1,Northern|Victoria
940GZZLUWKA,Warwick Avenue,51.523263,-0.183783,2,Bakerloo
940GZZLUWLO,Waterloo,51.503299,-0.11478,1,Bakerloo|Jubilee|Northern|Waterloo & City
940GZZLUWAF,Watford,51.657446,-0.417377,7,Metropolitan
940GZZLUWYC,Wembley Central,51.552304,-0.296852,4,Bakerloo
940GZZLUWYP,Wembley Park,51.563198,-0.279262,4,Jubilee|Metropolitan
940GZZLUWTA,West Acton,51.518001,-0.28098,3,Central
940GZZLUWBN,West Brompton,51.487268,-0.195599,2,District
940GZZLUWFN,West Finchley,51.609426,-0.188362,4,Northern
940GZZLUWHM,West Ham,51.528136,0.005055,2/3,District|Hammersmith & City|Jubilee
940GZZLUWHP,West Hampstead,51.546638,-0.191059,2,Jubilee
940GZZLUWHW,West Harrow,51.57971,-0.3534,5,Metropolitan
940GZZLUWKN,West Kensington,51.490459,-0.206636,2,District
940GZZLUWRP,West Ruislip,51.569688,-0.437886,6,Central
940GZZLUWSP,Westbourne Park,51.52111,-0.201065,2,Circle|Hammersmith & City
940GZZLUWSM,Westminster,51.50132,-0.124861,1,Circle|District|Jubilee
940GZZLUWCY,White City,51.511959,-0.224297,2,Central
940GZZLUWPL,Whitechapel,51.519518,-0.059971,2,District|Hammersmith & City
940GZZLUWIG,Willesden Green,51.549146,-0.221537,2+3,Jubilee|Metropolitan
940GZZLUWJN,Willesden Junction,51.532259,-0.244283,2+3,Bakerloo
940GZZLUWIM,Wimbledon,51.421207,-0.206573,3,District
940GZZLUWIP,Wimbledon Park,51.434573,-0.199719,3,District
940GZZLUWOG,Wood Green,51.597479,-0.109886,3,Piccadilly
940GZZLUWLA,Wood Lane,51.509669,-0.22453,2,Circle|Hammersmith & City
940GZZLUWOF,Woodford,51.606899,0.03397,4,Central
940GZZLUWOP,Woodside Park,51.618014,-0.18542,4,Northern
